City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,college,64.8569,-147.8028,-6.63,84,75,1.54,US,1698000822
1,nantucket,41.2835,-70.0995,16.08,64,100,9.77,US,1698000797
2,lompoc,34.6391,-120.4579,26.12,72,40,4.12,US,1698000822
3,bredasdorp,-34.5322,20.0403,15.05,74,98,4.88,ZA,1698000822
4,kapuskasing,49.4169,-82.4331,4.0,75,75,6.17,CA,1698000822
5,adamstown,-25.066,-130.1015,22.84,77,22,4.45,PN,1698000823
6,edinburgh of the seven seas,-37.0676,-12.3116,13.1,88,18,5.6,SH,1698000823
7,puerto natales,-51.7236,-72.4875,14.25,47,75,5.66,CL,1698000823
8,dunedin,-45.8742,170.5036,6.97,82,5,1.48,NZ,1698000823
9,fuglafjordur,62.244,-6.814,9.26,96,100,5.55,FO,1698000823
10,port-aux-francais,-49.35,70.2167,2.5,68,52,13.23,TF,1698000823
11,talnakh,69.4865,88.3972,-3.77,95,100,5.59,RU,1698000824
12,punta arenas,-53.15,-70.9167,13.06,41,20,9.26,CL,1698000622
13,olonkinbyen,70.9221,-8.7187,2.96,85,99,5.0,SJ,1698000824
14,waitangi,-43.9535,-176.5597,6.57,90,100,2.24,NZ,1698000824
15,faya-largeau,17.9257,19.1043,28.52,12,5,6.6,TD,1698000824
16,bethel,41.3712,-73.414,13.63,60,40,5.14,US,1698000824
17,holualoa,19.6228,-155.9522,25.43,84,40,3.09,US,1698000824
18,port macquarie,-31.4333,152.9167,12.72,50,1,3.7,AU,1698000825
19,qaqortoq,60.7167,-46.0333,1.58,61,100,1.02,GL,1698000825
20,moranbah,-22.0016,148.0466,19.27,61,6,3.46,AU,1698000825
21,alice springs,-23.7,133.8833,12.75,41,13,0.0,AU,1698000771
22,sinabang,2.4803,96.3801,25.62,85,100,0.51,ID,1698000825
23,orito,0.6766,-76.8771,34.34,37,61,2.16,CO,1698000825
24,grytviken,-54.2811,-36.5092,2.16,73,18,5.4,GS,1698000826
25,guatrache,-37.6678,-63.5302,26.42,38,100,5.41,AR,1698000826
26,dudinka,69.4058,86.1778,-3.54,97,100,5.16,RU,1698000826
27,constantia,44.1833,28.65,20.39,57,0,2.68,RO,1698000826
28,ilulissat,69.2167,-51.1,-2.99,50,20,4.63,GL,1698000826
29,melfort,52.8667,-104.6177,7.07,61,18,4.12,CA,1698000827
30,isafjordur,66.0755,-23.124,5.02,70,100,2.06,IS,1698000827
31,cobija,-11.0267,-68.7692,40.57,20,100,1.05,BO,1698000827
32,fort bragg,35.139,-79.006,23.75,37,0,5.66,US,1698000827
33,saint-francois,46.4154,3.9054,12.58,82,0,1.03,FR,1698000827
34,gamay,12.3854,125.2979,25.47,88,92,1.69,PH,1698000827
35,rio grande,-32.035,-52.0986,20.06,97,100,3.65,BR,1698000828
36,monopoli,40.9559,17.2896,21.51,65,100,1.95,IT,1698000828
37,flying fish cove,-10.4217,105.6791,23.82,88,40,1.54,CX,1698000828
38,atafu village,-8.5421,-172.5159,28.17,73,100,2.7,TK,1698000828
39,yellowknife,62.456,-114.3525,-3.1,75,20,8.75,CA,1698000828
40,tandalti,13.0167,31.8667,33.04,18,13,2.22,SD,1698000828
41,east london,-33.0153,27.9116,12.52,87,0,1.54,ZA,1698000829
42,minbu,20.1833,94.8833,25.0,77,91,1.42,MM,1698000829
43,rio preto da eva,-2.6994,-59.6997,38.11,31,100,0.43,BR,1698000829
44,khandyga,62.6667,135.6,-12.62,97,100,1.19,RU,1698000829
45,mansa,29.9833,75.3833,21.8,39,0,1.57,IN,1698000829
46,papatowai,-46.5619,169.4708,5.62,84,8,1.8,NZ,1698000829
47,avarua,-21.2078,-159.775,25.03,83,26,3.09,CK,1698000830
48,rongelap,11.1635,166.8941,28.05,75,100,5.49,MH,1698000830
49,enewetak,11.3474,162.3373,28.38,70,100,2.71,MH,1698000830
50,yuzhno-kurilsk,44.0306,145.8556,8.51,77,80,2.65,RU,1698000830
51,sitka,57.0531,-135.33,3.94,70,0,0.0,US,1698000830
52,ushuaia,-54.8,-68.3,9.81,53,40,9.77,AR,1698000830
53,sisimiut,66.9395,-53.6735,-5.12,79,20,5.11,GL,1698000831
54,san patricio,28.017,-97.5169,31.97,41,91,6.35,US,1698000831
55,tharad,24.3961,71.6267,27.99,41,0,2.44,IN,1698000831
56,west island,-12.1568,96.8225,24.99,78,100,5.66,CC,1698000831
57,kerikeri,-35.2268,173.9474,12.17,92,43,0.45,NZ,1698000831
58,ust'-ilimsk,58.0006,102.6619,-0.74,80,100,2.52,RU,1698000831
59,crane,31.3974,-102.3501,27.84,39,100,7.9,US,1698000832
60,cabo san lucas,22.8909,-109.9124,29.54,81,98,2.68,MX,1698000832
61,naze,28.3667,129.4833,20.51,70,100,3.75,JP,1698000832
62,aasiaat,68.7098,-52.8699,-10.08,86,84,2.71,GL,1698000832
63,tazovsky,67.4667,78.7,-2.55,82,99,6.91,RU,1698000832
64,lihue,21.9789,-159.3672,26.31,83,0,2.57,US,1698000832
65,yangjiang,21.85,111.9667,19.58,84,73,3.54,CN,1698000833
66,bilibino,68.0546,166.4372,-10.7,99,69,1.58,RU,1698000833
67,sao joao da barra,-21.6403,-41.0511,24.05,71,93,4.62,BR,1698000833
68,minas de marcona,-15.2119,-75.1103,20.07,68,30,5.94,PE,1698000833
69,albany,42.6001,-73.9662,10.2,74,100,1.34,US,1698000678
70,pandan,14.0453,124.1694,25.41,92,100,3.66,PH,1698000833
71,la passe,45.5549,-0.8967,13.32,74,99,5.28,FR,1698000833
72,tiksi,71.6872,128.8694,-18.11,100,100,1.36,RU,1698000834
73,vernon,50.2581,-119.2691,14.57,82,100,0.51,CA,1698000834
74,blackmans bay,-43.0167,147.3167,11.52,84,99,1.34,AU,1698000834
75,salalah,17.0151,54.0924,29.05,65,0,1.03,OM,1698000834
76,puerto ayora,-0.7393,-90.3518,29.98,78,55,4.99,EC,1698000834
77,hawaiian paradise park,19.5933,-154.9731,27.71,76,0,2.06,US,1698000834
78,san antonio de pale,-1.4014,5.6325,25.94,83,70,6.73,GQ,1698000835
79,tolanaro,-25.0319,46.9987,25.04,88,40,7.2,MG,1698000835
80,port saint john's,-31.6229,29.5448,16.65,67,95,1.52,ZA,1698000835
81,nola,40.922,14.5329,20.35,93,100,0.99,IT,1698000835
82,merizo village,13.2658,144.6691,28.31,91,100,8.19,GU,1698000835
83,touros,-5.1989,-35.4608,27.4,66,100,7.46,BR,1698000675
84,saipan,15.1355,145.701,28.39,78,40,7.2,MP,1698000835
85,ribeira grande,38.5167,-28.7,19.32,68,20,5.66,PT,1698000836
86,samsun,41.25,36.3333,23.0,77,0,0.51,TR,1698000836
87,khost,33.3395,69.9204,15.94,72,0,0.34,AF,1698000836
88,luwuk,-0.9516,122.7875,24.26,87,24,1.68,ID,1698000836
89,chonchi,-42.6128,-73.8092,15.56,44,2,1.69,CL,1698000836
90,iqaluit,63.7506,-68.5145,-3.15,68,75,6.17,CA,1698000836
91,murzzuschlag,47.6,15.6833,8.01,88,8,0.22,AT,1698000837
92,alta,69.9689,23.2717,0.59,87,75,1.54,NO,1698000837
93,stanley,54.868,-1.6985,7.1,94,0,0.0,GB,1698000837
94,lerwick,60.1545,-1.1494,10.0,82,100,3.58,GB,1698000837
95,utrik,11.2278,169.8474,27.26,79,100,5.11,MH,1698000837
96,invercargill,-46.4,168.35,4.45,95,25,1.67,NZ,1698000642
97,thompson,55.7435,-97.8558,1.09,86,75,5.66,CA,1698000838
98,choibalsan,48.0667,114.5,5.44,38,0,3.85,MN,1698000838
99,petauke,-14.2426,31.3253,22.16,74,100,2.89,ZM,1698000838
100,prince rupert,54.3161,-130.3201,6.83,85,40,7.2,CA,1698000637
101,north bend,43.4065,-124.2243,16.25,70,94,2.89,US,1698000742
102,port elizabeth,-33.918,25.5701,16.16,72,0,7.72,ZA,1698000838
103,hilo,19.7297,-155.09,27.83,74,0,2.24,US,1698000839
104,zayukovo,43.6161,43.3339,8.12,70,6,1.66,RU,1698000839
105,kerben,40.2951,72.1863,10.28,57,100,1.95,KG,1698000839
106,ketchikan,55.3422,-131.6461,7.26,65,40,5.66,US,1698000839
107,dzhetygara,52.1908,61.2006,-1.15,77,7,5.72,KZ,1698000839
108,dumai,1.6833,101.45,23.47,96,100,0.57,ID,1698000558
109,manturovo,58.3353,44.7619,-1.88,80,18,1.95,RU,1698000840
110,papao,-17.75,-149.55,27.82,79,53,6.66,PF,1698000840
111,bonthe,7.5264,-12.505,26.81,84,17,3.62,SL,1698000840
112,coquimbo,-29.9533,-71.3436,17.85,63,40,5.14,CL,1698000840
113,hirara,24.8,125.2833,23.92,78,75,2.06,JP,1698000603
114,georgetown,5.4112,100.3354,27.75,94,20,1.54,MY,1698000563
115,tadine,-21.55,167.8833,21.59,71,79,6.12,NC,1698000840
116,aberdeen,57.1437,-2.0981,6.41,87,7,2.57,GB,1698000841
117,wailua homesteads,22.0669,-159.378,27.24,83,0,2.57,US,1698000841
118,labrador city,52.9463,-66.9114,1.95,75,75,6.69,CA,1698000841
119,carnarvon,-24.8667,113.6333,19.65,80,1,10.12,AU,1698000841
120,elmina,5.0898,-1.348,26.57,87,86,4.68,GH,1698000798
121,yeppoon,-23.1333,150.7333,19.88,84,4,3.6,AU,1698000842
122,vila franca do campo,37.7167,-25.4333,18.27,99,89,5.48,PT,1698000842
123,cox's bazar,21.4532,91.9798,24.76,86,100,1.28,BD,1698000842
124,arraial do cabo,-22.9661,-42.0278,23.92,64,75,5.66,BR,1698000622
125,mudanjiang,44.5833,129.6,2.14,74,81,1.73,CN,1698000842
126,mezhdurechenskiy,59.6,65.9333,-1.39,76,92,4.83,RU,1698000842
127,sassandra,4.95,-6.0833,25.3,90,76,2.86,CI,1698000843
128,kone,-21.0595,164.8658,19.46,83,70,2.01,NC,1698000843
129,singkil,-7.9855,111.4161,24.32,72,42,1.01,ID,1698000843
130,nova vicosa,-17.8919,-39.3719,24.78,70,95,5.06,BR,1698000843
131,manicore,-5.8092,-61.3003,33.97,62,20,3.09,BR,1698000843
132,dishna,26.1247,32.476,27.35,23,0,2.93,EG,1698000843
133,port mathurin,-19.6833,63.4167,24.47,82,15,5.25,MU,1698000844
134,kabo,7.6994,18.629,25.45,71,57,0.8,CF,1698000844
135,whitehorse,60.7161,-135.0538,-7.57,51,100,5.14,CA,1698000844
136,bairnsdale,-37.8333,147.6167,12.25,70,100,0.45,AU,1698000844
137,lata,40.1629,-8.3327,16.71,65,100,0.85,PT,1698000844
138,mount gambier,-37.8333,140.7667,6.04,93,1,1.62,AU,1698000844
139,yambio,4.5721,28.3955,21.97,87,98,0.37,SS,1698000845
140,wapato,46.4476,-120.4203,19.26,60,75,2.57,US,1698000845
141,hobbs,32.7026,-103.136,27.81,40,40,0.0,US,1698000845
142,robertsport,6.7533,-11.3686,26.88,82,97,3.89,LR,1698000845
143,dilling,12.05,29.65,26.51,35,7,1.54,SD,1698000845
144,nebraska city,40.6767,-95.8592,19.24,39,0,4.63,US,1698000845
145,tonj,7.2737,28.6822,25.85,70,54,1.63,SS,1698000846
146,kudahuvadhoo,2.6708,72.8944,27.22,72,93,0.63,MV,1698000846
147,cidreira,-30.1811,-50.2056,20.62,82,100,6.11,BR,1698000846
148,pyhaselka,62.4333,29.9667,-0.34,88,97,1.39,FI,1698000846
149,port lincoln,-34.7333,135.8667,12.34,76,3,6.18,AU,1698000846
150,vorgashor,67.5833,63.95,-4.64,95,100,4.32,RU,1698000846
151,badiyah,22.45,58.8,24.25,69,100,1.92,OM,1698000847
152,paphos,34.7667,32.4167,23.88,73,0,2.57,CY,1698000847
153,kourou,5.1552,-52.6478,32.03,73,100,5.58,GF,1698000847
154,same,-4.0667,37.7333,22.75,53,0,2.47,TZ,1698000847
155,taoudenni,22.6783,-3.9836,35.68,13,69,2.37,ML,1698000847
156,nizhneangarsk,55.7833,109.55,0.48,69,1,3.72,RU,1698000847
157,kamaishi,39.2667,141.8833,12.53,85,98,2.82,JP,1698000848
158,pacific grove,36.6177,-121.9166,20.5,87,75,7.6,US,1698000848
159,selfoss,63.9331,-20.9971,1.69,81,100,1.52,IS,1698000848
160,hampton bays,40.869,-72.5176,14.42,59,75,6.69,US,1698000848
161,hithadhoo,-0.6,73.0833,27.03,76,91,5.41,MV,1698000848
162,basco,20.4487,121.9702,27.28,80,9,10.12,PH,1698000848
163,sanming,26.2486,117.6186,18.86,92,54,0.83,CN,1698000849
164,malvan,16.0667,73.4667,28.01,79,76,3.95,IN,1698000849
165,zhaoyuan,37.3592,120.3964,11.9,54,0,3.01,CN,1698000849
166,kingston,17.997,-76.7936,33.53,55,40,4.12,JM,1698000833
167,hamilton,39.1834,-84.5333,15.17,57,0,3.6,US,1698000659
168,keflavik,64.0049,-22.5624,4.24,100,75,1.54,IS,1698000849
169,petropavlovsk-kamchatsky,53.0452,158.6483,-1.67,93,40,1.0,RU,1698000850
170,aljezur,37.3191,-8.8033,14.98,90,96,3.38,PT,1698000850
171,lhasa,29.65,91.1,3.84,46,0,2.61,CN,1698000850
172,nea ionia,38.0373,23.7595,22.84,82,20,1.34,GR,1698000850
173,kibale,0.8,31.0667,17.78,98,94,0.66,UG,1698000850
174,anadyr,64.75,177.4833,3.28,100,75,10.0,RU,1698000850
175,sesheke,-17.4759,24.2968,27.95,37,99,3.55,ZM,1698000850
176,oranjemund,-28.55,16.4333,18.63,78,58,4.01,NA,1698000851
177,saurimo,-9.6608,20.3916,22.48,65,84,1.5,AO,1698000851
178,hermanus,-34.4187,19.2345,15.81,80,28,4.61,ZA,1698000851
179,kahramanmaras,38.0,37.0,15.98,43,100,2.21,TR,1698000851
180,jamestown,42.097,-79.2353,9.77,68,100,6.17,US,1698000693
181,konarka,19.9,86.1167,26.22,85,98,4.49,IN,1698000852
182,tacambaro de codallos,19.2333,-101.4667,22.28,75,82,2.37,MX,1698000852
183,mossel bay,-34.1831,22.146,15.96,81,8,10.03,ZA,1698000852
184,levuka,50.1834,-105.4011,10.9,53,100,4.12,CA,1698000852
185,nova sintra,14.8667,-24.7167,23.67,75,33,5.27,CV,1698000852
186,phan rang-thap cham,11.5667,108.9833,24.18,92,100,1.97,VN,1698000852
187,portland,45.5234,-122.6762,16.92,92,100,2.06,US,1698000853
188,vadso,70.0744,29.7487,-0.51,74,75,5.14,NO,1698000853
189,maxixe,-23.8597,35.3472,25.9,73,75,2.68,MZ,1698000853
190,acarau,-2.8856,-40.12,28.29,66,55,9.08,BR,1698000853
191,boa vista,2.8197,-60.6733,31.99,58,40,1.03,BR,1698000853
192,torzhok,57.0436,34.9622,1.65,96,100,1.93,RU,1698000854
193,natal,-5.795,-35.2094,29.12,65,40,8.23,BR,1698000854
194,kapa'a,22.0752,-159.319,27.99,82,0,2.57,US,1698000854
195,ulsteinvik,62.3432,5.8487,8.51,65,96,0.89,NO,1698000854
196,port alfred,-33.5906,26.891,13.43,86,77,7.18,ZA,1698000854
197,kolpashevo,58.3131,82.9089,2.13,92,100,4.25,RU,1698000854
198,kailua-kona,19.6406,-155.9956,27.5,83,40,3.09,US,1698000855
